restaurant_name,dish_name,category,price
Lookout Tavern,White Pizza,pizza,19
Lookout Tavern,Buffalo Chicken Pizza,pizza,20
Lookout Tavern,Lookout Burger,burger,17
Lookout Tavern,Bacon Cheeseburger,burger,19
Lookout Tavern,Mushroom Swiss Burger,burger,18
Lookout Tavern,Veggie Burger,burger,16
Lookout Tavern,Turkey Burger,burger,17
Lookout Tavern,Fried Chicken Sandwich,sandwich,17
Lookout Tavern,Grilled Chicken Sandwich,sandwich,16
Lookout Tavern,Fish Sandwich,sandwich,18
Lookout Tavern,Lobster Roll,lobster roll,38
Lookout Tavern,Pulled Pork Sandwich,sandwich,16
Lookout Tavern,Steak & Cheese,sandwich,18
Lookout Tavern,Philly Cheesesteak,sandwich,18
Lookout Tavern,Italian Sub,sandwich,16
Lookout Tavern,Club Sandwich,sandwich,16
Lookout Tavern,Tuna Melt,sandwich,15
Lookout Tavern,BLT,sandwich,14
Lookout Tavern,Fish & Chips,seafood,24
Lookout Tavern,Fried Shrimp,seafood,26
Lookout Tavern,Fried Scallops,seafood,28
Lookout Tavern,Seafood Platter,seafood,38
Lookout Tavern,Grilled Salmon,seafood,28
Lookout Tavern,Fish Tacos,taco,18
Lookout Tavern,Lobster Mac & Cheese,pasta,32
Lookout Tavern,Chicken Tenders,tendys,16
Lookout Tavern,Steak Tips,entree,32
Lookout Tavern,Baby Back Ribs,entree,28
Nancy's Restaurant,New England Clam Chowder,chowder,9.95
Nancy's Restaurant,Shrimp Nancy's,apps,21.95
Nancy's Restaurant,Fried Calamari,apps,21.95
Nancy's Restaurant,Scallops Wrapped in Bacon,apps,18.95
Nancy's Restaurant,PEI Mussels,apps,25.95
Nancy's Restaurant,Hummus or Baba Ganoush,apps,15.95
Nancy's Restaurant,Mediterranean Sampler,apps,25.95
Nancy's Restaurant,Chowder Fries,fries,16.95
Nancy's Restaurant,Nancy's Wings,wings,19.95
Nancy's Restaurant,Smash Burger,burger,19.95
Nancy's Restaurant,Salmon BLT,seafood,26.95
Nancy's Restaurant,Fried Fish Sandwich,seafood,19.95
Nancy's Restaurant,Joe's Chicken Sandwich,sandwich,22.95
Nancy's Restaurant,Buffalo Chicken Wrap,fried chicken,19.95
Nancy's Restaurant,Greek Wrap,sandwich,18.95
Nancy's Restaurant,Fish or Shrimp Tacos,taco,22.95
Nancy's Restaurant,Fish & Chips,seafood,29.95
Nancy's Restaurant,Jumbo Shrimp,seafood,30.95
Nancy's Restaurant,Sea Scallops,seafood,31.95
Nancy's Restaurant,Clam Strips,seafood,32.95
Nancy's Restaurant,Clam Bellies,seafood,44.95
Nancy's Restaurant,Seafood Plate,seafood,48.95
Nancy's Restaurant,Lobster Mac & Cheese,seafood,39.95
Nancy's Restaurant,Cold Lobster Roll,lobster roll,30.95
Nancy's Restaurant,Hot Lobster Roll,lobster roll,32.95
Nancy's Restaurant,Steamed Lobster,seafood,39.95
Nancy's Restaurant,Baked Cod,seafood,34.95
Nancy's Restaurant,Baked Scallops,seafood,37.95
Nancy's Restaurant,Broiled Seafood Plate,seafood,39.95
Nancy's Restaurant,Shrimp Scampi,seafood,28.95
Nancy's Restaurant,Salmon,seafood,35.95
Nancy's Restaurant,Mediterranean Chicken Plate,entree,29.95
Nancy's Restaurant,Shumai,sushi,12
Nancy's Restaurant,Gyoza,sushi,12
Nancy's Restaurant,Tuna Avo Salad,sushi,18
Nancy's Restaurant,Seared Peppered Tuna,sushi,19
Nancy's Restaurant,Ceviche,sushi,19
Nancy's Restaurant,Sushi Sandwich,sushi,18
Nancy's Restaurant,Nancy's Roll,sushi,26
Nancy's Restaurant,Volcano Roll,sushi,26
Nancy's Restaurant,Dragon Roll,sushi,20
Nancy's Restaurant,Sneaky Steve Roll,sushi,26
Nancy's Restaurant,Amazing Roll,sushi,25
Nancy's Restaurant,Rainbow Roll,sushi,22
Nancy's Restaurant,MV Roll,sushi,26
Nancy's Restaurant,Katama Roll,sushi,26
Nancy's Restaurant,Coconut Shrimp Roll,sushi,23
Offshore Ale Company,New England Clam Chowder,chowder,12
Offshore Ale Company,Offshore Chili,apps,15
Offshore Ale Company,French Onion Soup,apps,14
Offshore Ale Company,Tomato Soup,apps,9
Offshore Ale Company,Guacamole and Chips,apps,14
Offshore Ale Company,Grilled Brie,apps,19
Offshore Ale Company,Buffalo Cauliflower,apps,16
Offshore Ale Company,Bavarian Pretzel Sticks,apps,10
Offshore Ale Company,Steamed PEI Mussels,apps,25
Offshore Ale Company,Hand-Cut Fries,fries,13
Offshore Ale Company,Truffle Fries,fries,17
Offshore Ale Company,Wings,wings,20
Offshore Ale Company,Chicken Tenders,tendys,20
Offshore Ale Company,Knife and Fork Fried Chicken Sandwich,fried chicken,24
Offshore Ale Company,Power Bowl,salad,20
Offshore Ale Company,Caesar Salad,salad,17
Offshore Ale Company,Pub Salad,salad,17
Offshore Ale Company,Fish and Chips,seafood,30
Offshore Ale Company,Fish Sandwich,seafood,24
Offshore Ale Company,Salmon BLT,seafood,25
Offshore Ale Company,Tuna Poke,seafood,34
Offshore Ale Company,Grilled Cheese and Tomato Soup,sandwich,18
Offshore Ale Company,Tavern Burger,burger,20
Offshore Ale Company,Turkey Burger,burger,23
Offshore Ale Company,Classic Cheese Pizza,pizza,21
Offshore Ale Company,BBQ Chicken Pizza,pizza,26
Offshore Ale Company,Meat Lovers Pizza,pizza,26
Offshore Ale Company,Veggie Pizza,pizza,24
Offshore Ale Company,Hawaiian Pizza,pizza,25
Offshore Ale Company,Margherita Pizza,pizza,23
Offshore Ale Company,Chicken Pesto Pizza,pizza,25
Offshore Ale Company,Potato Pizza,pizza,26
Offshore Ale Company,Chicken Quesadilla,taco,23
Offshore Ale Company,Steak Quesadilla,taco,25
Offshore Ale Company,Veggie Quesadilla,taco,22
Offshore Ale Company,Baby Back Ribs,entree,30
MV Salads,Campground Smok'n Vegan,salad,17
MV Salads,Campground Smok'n Chicken,salad,25
MV Salads,Menemsha Lobster Cobb,salad,35
MV Salads,Mermaid Meadow Summer,salad,19
MV Salads,MV BLT,salad,22
MV Salads,Tivoli Cauliflower,salad,18
MV Salads,Jaws Special,salad,10.95
MV Salads,Fireworks Salad,salad,10.95
Black Dog,Classic Chowder,chowder,12
Black Dog,Onion Rings,apps,15
Black Dog,Jalapeno Popper Puffs,apps,16
Black Dog,Spinach Artichoke Dip,apps,18
Black Dog,Chicken Wings,wings,17
Black Dog,Chicken Tenders,tendys,18
Black Dog,Drunken Sailor Shrimp,seafood,18
Black Dog,Fish and Chips,seafood,30
Black Dog,Garlic and Herb Panko Cod,seafood,34
Black Dog,Roasted Salmon,seafood,35
Black Dog,Harvest Salad,salad,18
Black Dog,Caesar Salad,salad,17
Black Dog,Vineyard Cobb,salad,18
Black Dog,House Salad,salad,15
Black Dog,Beef and Mushroom Pot Pie,entree,30
Black Dog,Steak Tips,entree,34
Black Dog,Rosemary and Apple Cider Braised Chicken,entree,33
Black Dog,Steak Frites,entree,33
Black Dog,Butternut Squash Ravioli,pasta,23
Black Dog,Sausage Broccoli Cavatelli,pasta,25
Black Dog,Cipolla Carmalizzata,pasta,24
Black Dog,Smash Burger,burger,28
Black Dog,French Fries,fries,7
9 Craft Kitchen and Bar,Filet Mignon Deviled Eggs,apps,19
9 Craft Kitchen and Bar,Fried Chicken Bao Bun,fried chicken,15
9 Craft Kitchen and Bar,Herbed Ricotta Cheese,apps,13
9 Craft Kitchen and Bar,Mussels Puttanesca,apps,22
9 Craft Kitchen and Bar,Spicy Tuna Lettuce Wraps,apps,19
9 Craft Kitchen and Bar,Lobster Tostadas,apps,22
9 Craft Kitchen and Bar,Sesame Chicken Bites,apps,15
9 Craft Kitchen and Bar,Corn & Cheddar Fritters,apps,16
9 Craft Kitchen and Bar,Oak Smoked Pork Belly,apps,19
9 Craft Kitchen and Bar,Foie Gras Sausage,apps,19
9 Craft Kitchen and Bar,Bacon Lollipop Bouquet,apps,16
9 Craft Kitchen and Bar,House Caesar,salad,16
9 Craft Kitchen and Bar,Olive Oil Poached Niçoise Salad,salad,24
9 Craft Kitchen and Bar,Strawberry Fields,salad,19
9 Craft Kitchen and Bar,Arcadia Green Salad,salad,15
9 Craft Kitchen and Bar,Warm Spinach Salad,salad,19
9 Craft Kitchen and Bar,Roasted Cauliflower Salad,salad,19
9 Craft Kitchen and Bar,Chowder,chowder,14
9 Craft Kitchen and Bar,Smoked Tomato Bisque,chowder,14
9 Craft Kitchen and Bar,French Fries,fries,12
9 Craft Kitchen and Bar,Lamb Ragout Rigatoni,pasta,37
9 Craft Kitchen and Bar,Pappardelle Bourguignon,pasta,37
9 Craft Kitchen and Bar,Lobster Crawfish Risotto,pasta,42
9 Craft Kitchen and Bar,Parmesan Koginut Squash Risotto,pasta,34
9 Craft Kitchen and Bar,Cast-Iron Baked Gnocchi,pasta,29
9 Craft Kitchen and Bar,Scottish Salmon,seafood,36
9 Craft Kitchen and Bar,Miso Cod,seafood,36
9 Craft Kitchen and Bar,Swordfish Steak,seafood,39
9 Craft Kitchen and Bar,Filet Mignon,entree,49
9 Craft Kitchen and Bar,Chicken Tagine (Serves 2),entree,49
9 Craft Kitchen and Bar,Dry-Aged Pork Chop,entree,42
9 Craft Kitchen and Bar,Wagyu Skirt Steak,entree,56
9 Craft Kitchen and Bar,Slow Braised Short Rib,entree,42
9 Craft Kitchen and Bar,Chicken Thigh Schnitzel,entree,27
9 Craft Kitchen and Bar,Boneless Prime Ribeye,entree,69
9 Craft Kitchen and Bar,The Burger,burger,26
Beach Road,New England Clam Chowder,chowder,17
Beach Road,Daily Bread,apps,12
Beach Road,Cast Iron Cornbread,apps,12
Beach Road,Fig Toast,apps,15
Beach Road,Blistered Shishitos,apps,14
Beach Road,Beet Roulade,apps,16
Beach Road,Charred Savoy Cabbage,apps,19
Beach Road,Autumn Salad,salad,21
Beach Road,Caesar Salad,salad,19
Beach Road,Tempura Shrimp,seafood,20
Beach Road,Bouillabaisse,seafood,50
Beach Road,Atlantic Halibut,seafood,48
Beach Road,Sugar Pumpkin & Mushroom Mafaldine,pasta,42
Beach Road,Lamb Chops,entree,26
Beach Road,Berkshire Pork Chop,entree,48
Beach Road,Braised Short Rib,entree,47
Beach Road,Hot Dog,sandwich,24
Beach Road,Fried Chicken,fried chicken,38
The Attic,Short Rib Poutine,apps,23
The Attic,Crispy Sweet Chili Brussel Sprouts,apps,18
The Attic,Fried Cheese Curds,apps,15
The Attic,Waterside's House Potato Chips,apps,14
The Attic,Beer Battered Onion Rings,apps,17
The Attic,French Onion Soup,apps,15
The Attic,Soup of the Day,apps,15
The Attic,Attic Wings,wings,12
The Attic,Tuna Tartar,seafood,26
The Attic,Portuguese Mussels,seafood,25
The Attic,House-made Crab Cakes,seafood,22
The Attic,Fried Codfish Sandwich,seafood,25
The Attic,Hoisin Glazed Salmon Rice Bowl,seafood,38
The Attic,Fish & Chips,seafood,30
The Attic,Attic Salad,salad,22
The Attic,Butternut Squash & Spinach Salad,salad,22
The Attic,Caesar Salad,salad,20
The Attic,Side Salad,salad,12
The Attic,Classic Burger,burger,24
The Attic,Attic Smash Burger,burger,24
The Attic,Veggie Burger,burger,23
The Attic,Turkey Burger,burger,24
The Attic,Mr. Bowen,burger,27
The Attic,Black & Bleu Burger,burger,27
The Attic,Firehouse Burger,burger,27
The Attic,Attic Fried Chicken Sandwich,sandwich,24
The Attic,Pulled Pork Sandwich,sandwich,25
The Attic,American Wagyu Hot Dog,sandwich,23
The Attic,Lobster Roll,lobster roll,38
The Attic,12 oz Prime N.Y. Strip,entree,57
The Attic,Herb Roasted 1/2 Chicken,entree,35
The Attic,Harissa Roasted Cauliflower,entree,30
The Attic,Classic Mac & Cheese,pasta,20
The Attic,Hand-cut Fries,fries,10
Waterside Market,Breakfast Sandwich,breakfast sandwich,8
Waterside Market,Breakfast Burrito,breakfast sandwich,13
Waterside Market,Skinny Wrap,breakfast sandwich,13
Waterside Market,Traditional Breakfast,breakfast,14
Waterside Market,Flapjacks,breakfast,14
Waterside Market,Tex-Mex,breakfast,20
Waterside Market,Eggs Benedict,breakfast,19
Waterside Market,Lobster Benedict,breakfast,36
Waterside Market,Cinnamon French Toast,breakfast,14
Waterside Market,Avocado Toast,breakfast,16
Waterside Market,Smoked Salmon & Tomato Caper Salsa,breakfast,20
Waterside Market,Farmhouse,sandwich,17
Waterside Market,John Alden,sandwich,17
Waterside Market,Red White & Green,sandwich,15
Waterside Market,C.A.B.,sandwich,17
Waterside Market,Italian,sandwich,17
Waterside Market,French Quarter,sandwich,18
Waterside Market,"B.L.T. ""The Best!""",sandwich,16
Waterside Market,Lucy Vincent,sandwich,16
Waterside Market,Lobster Roll,lobster roll,36
Waterside Market,Hand-Cut French Fries,fries,9
Waterside Market,Cobb Salad,salad,18
Waterside Market,Kale Chicken Caesar,salad,16
Waterside Market,Strawberry Quinoa,salad,20
Waterside Market,Greek Salad,salad,18
Porto Pizza,Veggie Pizza,pizza,20
Porto Pizza,White Pizza,pizza,20
Porto Pizza,Bacon Jalapeño Pizza,pizza,20
Porto Pizza,Linguica Peppers Pizza,pizza,20
Porto Pizza,Deep Dish Pepperoni,pizza,20
Porto Pizza,Deep Dish BBQ Pizza,pizza,20
Porto Pizza,Cheese Pizza,pizza,20
Porto Pizza,Pepperoni Pizza,pizza,20
Town Bar,Clam Chowder,chowder,12
Town Bar,Popcorn Chicken,apps,14
Town Bar,Coconut Shrimp,apps,15
Town Bar,Mac Fritters,apps,13
Town Bar,Fried Pickles,apps,11
Town Bar,Seasonal Soup,apps,12
Town Bar,Pretzel Bites,apps,10
Town Bar,Big Mac Sliders,apps,16
Town Bar,Truffle Street Corn Nachos,apps,16
Town Bar,Town Triple Sampler,apps,20
Town Bar,Chicken Wings,wings,13
Town Bar,Sesame Ginger Crunch,salad,16
Town Bar,Harvest Bowl,salad,18
Town Bar,Nashville Hot Chicken Salad,salad,20
Town Bar,Town Burger,burger,20
Town Bar,Smash Burger,burger,19
Town Bar,Southern Bird,fried chicken,17
Town Bar,Bulgogi Steak N Cheese,sandwich,20
Town Bar,Green Goddess,sandwich,19
Town Bar,Spicy Baja Fish Sandwich,seafood,19
Town Bar,Spicy Baja Fish & Chips,seafood,29
Town Bar,Pistachio Salmon,seafood,38
Town Bar,Brazilian Steak Tips,entree,32
Town Bar,Cider-Glazed Pork Chop,entree,28
Town Bar,Cilantro Lime Chicken,entree,26
Town Bar,Adults Kids Meal,entree,30
Town Bar,Gnocchi Cacio e Pepe,pasta,28
Alchemy Bistro & Bar,Duck Confit,entree,32
Alchemy Bistro & Bar,Truffle Fries,apps,14
Alchemy Bistro & Bar,Lobster Tacos,taco,28
Alchemy Bistro & Bar,Pan Seared Scallops,seafood,38
Alchemy Bistro & Bar,Steak Frites,entree,42
Alchemy Bistro & Bar,Roasted Boneless Half-Chicken,fried chicken,48
Alchemy Bistro & Bar,Blackened Lobster Tail,entree,74
ArtCliff Diner,Clam Chowder,chowder,9
ArtCliff Diner,Blueberry Pancakes,breakfast,12
ArtCliff Diner,Classic Burger,burger,14
ArtCliff Diner,Fish & Chips,seafood,18
ArtCliff Diner,Lobster Benedict,breakfast,24
Atria,Seared Tuna,seafood,38
Atria,Wagyu Burger,burger,28
Atria,Lobster Risotto,entree,42
Atria,Beet Salad,salad,16
Atria,Pan-Seared Scallops,seafood,44
Back Door Donuts,Apple Cider Donut,breakfast,4
Back Door Donuts,Apple Fritter,breakfast,9
Back Door Donuts,Boston Cream Donut,breakfast,3.5
Back Door Donuts,Maple Bacon Donut,breakfast,4
Back Door Donuts,Cinnamon Roll,breakfast,6.5
Bettini Restaurant,Clam Chowder,chowder,14
Bettini Restaurant,Grilled Swordfish,seafood,44
Bettini Restaurant,Pan Roasted Chicken,fried chicken,32
Bettini Restaurant,Lobster Ravioli,pasta,38
Bettini Restaurant,Caesar Salad,salad,12
Bettini Restaurant,New England Crab Cake,apps,29
Biscuits,Chicken & Biscuits,fried chicken,16
Biscuits,Shrimp & Grits,seafood,18
Biscuits,Fried Chicken & Waffle,fried chicken,17
Biscuits,Biscuits Benedict,breakfast,15
Biscuits,Buttermilk Pancakes,breakfast,12
Garde East,New England Clam Chowder,chowder,14
Garde East,Garde Burger,burger,18
Garde East,Pan Roasted Cod,seafood,28
Garde East,Crispy Calamari,apps,16
Garde East,Lobster Roll,lobster roll,36
Garde East,Citrus Salad,salad,22
Garde East,Striped Bass,seafood,60
Garde East,Lobster Cavatelli,pasta,42
L'etoile Restaurant,Seared Scallops,seafood,42
L'etoile Restaurant,Beef Bourguignon,entree,48
L'etoile Restaurant,Lobster Bisque,chowder,16
L'etoile Restaurant,Duck Breast,entree,44
L'etoile Restaurant,Foie Gras,apps,28
Red Cat Kitchen,Faroe Island Salmon Tartare,apps,22
Red Cat Kitchen,Caesar Salad,salad,16
Red Cat Kitchen,Brussels Sprouts,apps,14
Red Cat Kitchen,Codfish Cake,apps,18
Red Cat Kitchen,Braised Short Rib,entree,36
Red Cat Kitchen,Miso Glazed Pork Loin,entree,32
Red Cat Kitchen,Faroe Island Salmon,seafood,34
Red Cat Kitchen,Linguini and Clams,pasta,28
Red Cat Kitchen,Buttermilk Fried Chicken,fried chicken,28
